"Player_Name","Nation","Position_1","Position_2","Team_Name","Age","Birth_Year","Matches_Played_By_Player","Player_Starts","Player_Minutes_Played","Gls_By_Player","Ast_By_Player","PK_By_Player","Pkatt_By_Player","CrdY_By_Player","CrdR_By_Player","Season_Year","Player_SH","Player_SoT","Player_FK","Player_KP_Ast","Player_Total_Cmp_Passes","Player_Total_Att_Passes","Player_Short_Cmp_Passes","Player_Short_Att_Passes","Player_Medium_Cmp_Passes","Player_Medium_Att_Passes","Player_Long_Cmp_Passes","Player_Long_Att_Passes","Player_Passes_Left_Foot","Player_Passes_Right_Foot","Player_Passes_Through_Ball","Player_Passes_FK","Corner_Kicks","Thrown_Ins","Passes_Into_Final_Third","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","X2CrdY","Fls_Committed","Fld_Drawn","Offside","Crosses","TklW","Interception","PKwon","PKcon","OG","Succ_Dribbles","Att_Dribbles","Succ_Players_Dribbled_Past","Nutmegs","Dribblers_Tkl","Dribblers_Att_tkl","Dribbled_Past_By_Opp","Season_End_Team_Ranking","Team_MP","Team_Wins","Team_Ties","Team_Losses","Team_GF","Team_GA","Team_Season_End_Pts","Audience_Attendance"
"Son Heung-min\Son-Heung-min","KOR","FW","MF","Tottenham",25,1992,37,27,2317,12,6,0,0,0,0,"2017-18",71,34,0,37,778,971,35,71,677,793,66,107,163,767,1,1,5,6,33,27,6,0,15,26,25,50,9,12,0,0,0,53,89,58,0,16,42,26,3,38,23,8,7,74,36,77,"67,953"
"Wesley Hoedt\Wesley-Hoedt","NED","DF",NA,"Southampton",23,1994,28,28,2520,0,1,0,0,7,0,"2017-18",14,2,0,10,1036,1355,4,19,628,740,404,596,928,257,32,1,0,14,145,5,2,0,22,16,0,6,38,42,0,1,0,26,30,27,0,65,90,25,17,38,7,15,16,37,56,36,"30,794"
"Jonathan Hogg\Jonathan-Hogg"," ENG","MF",NA,"Huddersfield",28,1988,30,29,2398,0,0,0,0,9,2,"2017-18",11,2,0,9,1155,1373,21,44,859,967,275,362,124,1133,19,0,2,0,106,6,0,1,32,30,0,3,51,68,0,0,0,7,12,9,0,80,140,60,16,38,9,10,19,28,58,37,"24,040"
"Rob Holding\Rob-Holding"," ENG","DF",NA,"Arsenal",21,1995,12,9,822,0,0,0,0,3,0,"2017-18",1,0,0,2,498,594,5,11,338,387,155,196,98,434,4,1,0,4,38,1,0,0,9,5,0,0,10,22,0,0,0,4,5,4,0,14,21,7,6,38,19,6,13,74,51,63,"59,323"
"Jos? Holebas\Jose-Holebas","GRE","DF","MF","Watford",33,1984,28,26,2382,0,4,0,0,7,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,38,11,8,19,44,64,41,"20,231"
"Mason Holgate\Mason-Holgate"," ENG","DF",NA,"Everton",20,1996,15,13,1184,0,0,0,0,3,0,"2017-18",6,1,0,5,343,509,4,15,219,282,120,212,74,332,3,0,0,42,35,4,0,0,12,12,1,12,7,24,0,0,0,7,10,7,0,19,31,12,8,38,13,10,15,44,58,49,"38,797"
"Callum Hudson-Odoi\Callum-Hudson-Odoi"," ENG","MF",NA,"Chelsea",16,2000,2,0,29,0,0,0,0,0,0,"2017-18",2,1,0,0,10,16,1,1,6,9,3,6,6,9,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,5,38,21,7,10,62,38,70,"41,282"
"Will Hughes\Will-Hughes"," ENG","MF","FW","Watford",22,1995,15,11,990,2,3,0,0,0,0,"2017-18",12,4,0,18,319,419,21,31,263,316,35,72,329,66,3,0,6,0,27,10,0,0,19,21,1,11,14,15,0,0,0,8,12,9,1,28,43,15,14,38,11,8,19,44,64,41,"20,231"
"Jordan Hugill\Jordan-Hugill"," ENG","FW",NA,"West Ham",25,1992,3,0,25,0,0,0,0,0,0,"2017-18",0,0,0,0,3,8,0,0,3,8,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,38,10,12,16,48,68,42,"56,885"
"Uwe HÅnemeier\Uwe-Hunemeier","GER","DF",NA,"Brighton",31,1986,1,0,18,0,0,0,0,0,0,"2017-18",0,0,0,0,1,5,0,0,0,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,15,38,9,13,16,34,54,40,"30,403"
"Emerson Hyndman\Emerson-Hyndman","USA","MF",NA,"Bournemouth",21,1996,1,1,58,0,0,0,0,0,0,"2017-18",0,0,0,1,23,26,1,1,18,19,4,6,5,17,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,12,38,11,11,16,45,61,44,"10,641"
"Pierre H?jbjerg\Pierre-Hojbjerg","DEN","MF",NA,"Southampton",21,1995,23,19,1670,0,0,0,0,6,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,38,7,15,16,37,56,36,"30,794"
"Jordon Ibe\Jordon-Ibe"," ENG","MF","FW","Bournemouth",21,1995,32,22,1995,2,6,0,0,1,0,"2017-18",55,16,4,35,573,793,17,64,465,573,91,156,121,628,25,2,52,6,29,19,1,0,10,42,2,111,8,10,0,0,0,42,85,46,1,13,21,8,12,38,11,11,16,45,61,44,"10,641"
"Vicente Iborra\Vicente-Iborra","ESP","MF",NA,"Leicester City",29,1988,19,17,1410,3,0,0,0,0,0,"2017-18",14,4,0,5,676,835,13,28,489,578,174,229,128,621,6,1,0,0,65,6,0,0,18,19,2,2,17,20,0,0,0,7,10,8,0,26,50,24,9,38,12,11,15,56,60,47,"31,583"
"Zlatan Ibrahimovi?\Zlatan-Ibrahimovic","SWE","FW","MF","Manchester Utd",35,1981,5,1,106,0,0,0,0,0,0,"2017-18",4,1,0,2,56,76,1,4,48,60,7,12,7,58,0,0,1,0,5,4,0,0,1,1,2,2,1,0,0,0,0,1,2,1,0,2,2,0,2,38,25,6,7,68,28,81,"74,976"
"Kelechi Iheanacho\Kelechi-Iheanacho","NGA","FW","MF","Leicester City",20,1996,21,7,830,3,3,0,0,2,0,"2017-18",31,11,0,11,187,243,8,13,151,185,28,45,197,24,0,2,0,2,9,13,1,0,17,9,5,6,6,4,0,0,0,8,16,13,0,8,18,10,9,38,12,11,15,56,60,47,"31,583"
"Tom Ince\Tom-Ince"," ENG","MF","FW","Huddersfield",25,1992,33,27,2452,2,0,0,0,0,0,"2017-18",70,20,3,18,561,733,12,43,458,526,91,164,537,125,5,0,31,12,32,16,4,0,22,36,10,60,22,14,0,0,0,26,45,27,0,34,51,17,16,38,9,10,19,28,58,37,"24,040"
"Danny Ings\Danny-Ings"," ENG","FW",NA,"Liverpool",25,1992,8,3,267,1,0,0,0,0,0,"2017-18",8,5,0,3,51,79,1,9,38,53,12,17,8,62,0,0,0,0,2,4,0,0,6,3,3,3,1,3,0,0,0,1,2,1,0,4,5,1,4,38,21,12,5,84,38,75,"53,049"
"Stephen Ireland\Stephen-Ireland","IRL","MF",NA,"Stoke City",30,1986,4,1,131,0,0,0,0,1,0,"2017-18",3,0,0,1,57,70,1,3,50,53,6,14,17,49,0,0,0,2,7,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,6,4,19,38,7,12,19,35,68,33,"29,280"
"Alex Iwobi\Alex-Iwobi","NGA","FW","MF","Arsenal",21,1996,26,22,1830,3,5,0,0,1,0,"2017-18",45,22,0,37,984,1149,30,60,800,890,154,199,130,1006,3,4,1,4,93,33,1,0,11,12,1,20,18,7,0,0,0,33,53,41,4,20,30,10,6,38,19,6,13,74,51,63,"59,323"
"Jos? Izquierdo\Jose-Izquierdo","COL","MF","FW","Brighton",25,1992,32,23,1984,5,3,0,0,2,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,38,9,13,16,34,54,40,"30,403"
"Phil Jagielka\Phil-Jagielka"," ENG","DF",NA,"Everton",34,1982,25,23,2065,0,0,0,0,2,0,"2017-18",9,2,0,1,740,1000,6,20,432,518,302,462,157,688,24,0,0,4,71,5,0,0,8,15,0,4,20,39,0,0,0,1,1,1,0,30,42,12,8,38,13,10,15,44,58,49,"38,797"
"Eldin Jakupovi?\Eldin-Jakupovic","SUI","GK",NA,"Leicester City",32,1984,2,2,180,0,0,0,0,0,0,"2017-18",0,0,0,0,22,40,0,0,3,3,19,37,2,26,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38,12,11,15,56,60,47,"31,583"
"Matty James\Matty-James"," ENG","MF",NA,"Leicester City",26,1991,13,11,993,0,0,0,0,2,0,"2017-18",10,2,0,2,351,432,7,15,285,330,59,87,43,336,0,1,0,1,27,2,0,0,21,5,0,2,11,19,0,0,0,8,11,8,0,14,27,13,9,38,12,11,15,56,60,47,"31,583"
"Daryl Janmaat\Daryl-Janmaat","NED","DF","MF","Watford",28,1989,23,21,1820,3,0,0,0,3,0,"2017-18",24,10,0,13,703,991,17,33,523,644,163,314,90,655,2,0,0,160,80,20,8,0,14,4,1,68,23,34,0,0,0,16,28,20,2,47,77,30,14,38,11,8,19,44,64,41,"20,231"
"Vincent Janssen\Vincent-Janssen","NED","FW",NA,"Tottenham",23,1994,1,0,1,0,0,0,0,0,0,"2017-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,23,8,7,74,36,77,"67,953"
"Jes?\Jese","ESP","FW","MF","Stoke City",24,1993,13,8,614,1,1,0,0,0,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,38,7,12,19,35,68,33,"29,280"
"Gabriel Jesus\Gabriel-Jesus","BRA","FW",NA,"Manchester City",20,1997,29,19,1668,13,3,0,2,6,0,"2017-18",56,32,0,15,461,574,27,53,387,460,47,61,81,450,1,0,0,1,23,11,0,0,28,18,15,2,12,10,0,0,0,27,36,29,2,19,34,15,1,38,32,4,2,106,27,100,"54,070"
"Glen Johnson\Glen-Johnson"," ENG","DF",NA,"Stoke City",32,1984,9,7,547,0,0,0,0,3,0,"2017-18",3,1,0,3,142,224,2,9,93,116,47,99,20,158,5,0,0,34,24,8,1,0,6,5,0,8,7,8,0,0,0,2,5,2,0,9,20,11,19,38,7,12,19,35,68,33,"29,280"
"Phil Jones\Phil-Jones"," ENG","DF",NA,"Manchester Utd",25,1992,23,23,1973,0,0,0,0,2,0,"2017-18",3,0,0,1,990,1099,20,28,627,677,343,394,118,869,1,0,0,3,50,1,0,0,10,24,0,2,9,43,0,0,1,5,5,5,0,20,32,12,2,38,25,6,7,68,28,81,"74,976"
"Joselu\Joselu","ESP","FW",NA,"Newcastle Utd",27,1990,30,19,1712,4,1,0,1,2,0,"2017-18",45,17,0,14,379,597,20,46,321,493,38,58,105,271,0,1,0,0,40,6,0,0,30,23,3,6,11,12,0,0,0,8,17,11,0,18,38,20,10,38,12,8,18,39,47,44,"51,992"
"Mathias J?rgensen\Mathias-Jorgensen","DEN","DF",NA,"Huddersfield",27,1990,38,38,3420,0,2,0,0,6,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,38,9,10,19,28,58,37,"24,040"
"Christian Kabasele\Christian-Kabasele","BEL","DF",NA,"Watford",26,1991,28,27,2330,2,0,0,0,5,0,"2017-18",6,3,0,1,655,893,7,22,399,488,249,383,125,616,10,0,0,4,52,5,0,0,31,16,0,2,20,36,0,0,1,1,2,1,0,39,51,12,14,38,11,8,19,44,64,41,"20,231"
"Youn?s Kaboul\Younes-Kaboul","FRA","DF",NA,"Watford",31,1986,2,2,150,0,0,0,0,0,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,38,11,8,19,44,64,41,"20,231"
"Elias Kachunga\Elias-Kachunga","COD","FW","MF","Huddersfield",25,1992,19,17,1329,1,1,0,0,1,0,"2017-18",11,5,0,8,227,360,12,42,200,271,15,47,44,263,1,0,1,4,9,4,1,0,20,32,6,26,12,4,0,0,0,10,28,12,1,24,34,10,16,38,9,10,19,28,58,37,"24,040"
"Sullay Kaikai\Sullay-Kaikai"," ENG","MF",NA,"Crystal Palace",21,1995,1,0,14,0,0,0,0,0,0,"2017-18",0,0,0,0,3,8,0,0,2,3,1,5,1,7,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,3,3,0,1,1,0,11,38,11,11,16,45,55,44,"25,063"
"Harry Kane\Harry-Kane"," ENG","FW",NA,"Tottenham",24,1993,37,35,3076,30,2,2,3,5,0,"2017-18",185,72,9,29,469,675,20,59,335,441,114,175,80,499,3,1,1,6,47,21,2,0,34,40,43,21,12,8,1,0,0,46,89,53,2,15,25,10,3,38,23,8,7,74,36,77,"67,953"
"N'Golo Kant?\NGolo-Kante","FRA","MF",NA,"Chelsea",26,1991,34,34,2994,1,1,0,0,3,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,38,21,7,10,62,38,70,"41,282"
"Loris Karius\Loris-Karius","GER","GK",NA,"Liverpool",24,1993,19,19,1710,0,0,0,0,1,0,"2017-18",0,0,0,0,373,516,0,1,208,208,165,307,48,367,19,0,0,0,3,0,0,0,2,3,0,1,0,2,0,2,0,0,0,0,0,0,0,0,4,38,21,12,5,84,38,75,"53,049"
"Orestis Karnezis\Orestis-Karnezis","GRE","GK",NA,"Watford",32,1985,15,14,1292,0,0,0,0,0,0,"2017-18",0,0,0,0,139,308,1,2,24,24,114,282,9,253,71,0,0,0,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,14,38,11,8,19,44,64,41,"20,231"
"Beram Kayal\Beram-Kayal","ISR","MF",NA,"Brighton",29,1988,19,8,745,0,0,0,0,2,0,"2017-18",4,2,0,10,185,236,8,12,144,174,33,50,21,180,0,0,0,0,17,4,2,0,15,15,1,5,18,15,0,0,0,2,6,2,0,25,41,16,15,38,9,13,16,34,54,40,"30,403"
"Michael Keane\Michael-Keane"," ENG","DF",NA,"Everton",24,1993,30,29,2560,0,1,0,0,3,0,"2017-18",16,1,0,4,911,1208,7,39,551,674,353,495,196,769,10,1,0,3,84,2,0,0,21,11,4,5,19,60,0,0,0,4,5,5,0,32,50,18,8,38,13,10,15,44,58,49,"38,797"
"Martin Kelly\Martin-Kelly"," ENG","DF",NA,"Crystal Palace",27,1990,15,12,1195,0,0,0,0,1,0,"2017-18",5,1,0,1,271,383,8,14,185,222,78,147,31,272,5,0,0,28,21,1,0,0,8,4,0,6,9,12,0,0,1,1,2,2,0,21,28,7,11,38,11,11,16,45,55,44,"25,063"
"Kenedy\Kenedy","BRA","MF","FW","Newcastle Utd",21,1996,13,13,1023,2,2,0,0,1,0,"2017-18",22,5,1,13,296,404,17,31,232,288,47,85,324,49,5,1,20,12,17,12,4,0,15,20,0,38,15,18,1,0,0,23,35,24,1,29,42,13,10,38,12,8,18,39,47,44,"51,992"
"Jonjoe Kenny\Jonjoe-Kenny"," ENG","DF",NA,"Everton",20,1997,19,17,1590,0,1,0,0,2,0,"2017-18",3,1,0,10,556,824,10,33,421,528,125,263,24,545,10,0,1,187,50,6,2,0,17,4,0,45,13,28,1,1,0,6,14,7,1,37,55,18,8,38,13,10,15,44,58,49,"38,797"
"Andy King\Andy-King"," WAL","MF",NA,"Swansea City",28,1988,11,9,715,2,1,0,0,1,0,"2017-18",8,4,0,3,289,355,6,11,213,239,70,105,19,311,4,0,0,1,33,8,2,0,4,6,0,8,11,5,0,0,0,4,6,4,0,17,31,14,18,38,8,9,21,28,56,33,"20,623"
"Andy King\Andy-King"," WAL","MF",NA,"Leicester City",28,1988,11,5,537,1,0,0,0,1,0,"2017-18",6,2,0,2,163,220,7,11,125,156,31,53,8,184,2,0,0,2,21,0,0,0,9,5,1,5,5,6,1,0,0,0,3,0,0,6,11,5,9,38,12,11,15,56,60,47,"31,583"
"Joshua King\Joshua-King","NOR","FW","MF","Bournemouth",25,1992,33,27,2453,8,3,2,2,3,0,"2017-18",47,17,0,34,515,720,16,50,435,570,64,100,73,563,3,3,0,2,39,28,3,0,45,56,4,36,19,6,0,0,0,66,130,75,5,31,49,18,12,38,11,11,16,45,61,44,"10,641"
"Davy Klaassen\Davy-Klaassen","NED","MF","FW","Everton",24,1993,7,3,251,0,0,0,0,0,0,"2017-18",1,1,0,2,76,99,3,7,58,75,15,17,22,68,0,0,0,1,5,2,0,0,5,2,1,3,1,1,0,0,0,0,0,0,0,2,6,4,8,38,13,10,15,44,58,49,"38,797"
"Ragnar Klavan\Ragnar-Klavan","EST","DF",NA,"Liverpool",31,1985,19,16,1451,1,0,0,0,0,0,"2017-18",1,0,0,3,1056,1180,9,17,708,767,339,396,931,146,4,0,0,14,75,6,0,0,7,12,0,2,8,16,0,0,0,2,2,2,0,14,20,6,4,38,21,12,5,84,38,75,"53,049"
"Anthony Knockaert\Anthony-Knockaert","FRA","MF","FW","Brighton",25,1991,33,27,2421,3,1,0,0,4,1,"2017-18",44,13,0,37,841,1079,27,56,667,782,147,241,880,135,25,2,27,13,49,16,1,0,22,23,8,98,20,25,0,0,0,57,94,64,1,34,71,37,15,38,9,13,16,34,54,40,"30,403"
"Sead Kola?inac\Sead-Kolasinac","BIH","DF","MF","Arsenal",24,1993,27,25,2147,2,4,0,0,3,0,"2017-18",21,6,0,19,1149,1455,25,71,975,1163,149,221,1062,120,3,1,2,161,80,20,7,0,32,11,1,42,30,28,0,0,0,8,15,11,0,52,77,25,6,38,19,6,13,74,51,63,"59,323"
"Vincent Kompany\Vincent-Kompany","BEL","DF",NA,"Manchester City",31,1986,17,17,1394,1,1,0,0,6,0,"2017-18",6,2,0,4,1280,1402,7,13,889,948,384,441,51,1246,2,0,0,3,111,2,0,0,18,2,0,0,14,18,0,0,0,2,2,2,0,19,25,6,1,38,32,4,2,106,27,100,"54,070"
"Terence Kongolo\Terence-Kongolo","NED","DF",NA,"Huddersfield",23,1994,13,11,1049,0,0,0,0,0,0,"2017-18",2,0,0,3,257,396,5,26,192,261,60,109,258,32,4,0,0,50,26,4,1,0,5,11,0,10,15,30,0,0,0,5,11,9,2,31,41,10,16,38,9,10,19,28,58,37,"24,040"
"Laurent Koscielny\Laurent-Koscielny","FRA","DF",NA,"Arsenal",31,1985,25,25,2225,2,0,0,0,4,0,"2017-18",9,3,0,7,1509,1711,10,23,933,1033,566,655,142,1407,17,0,0,5,163,2,0,0,14,26,2,6,25,60,0,0,0,2,3,2,0,34,44,10,6,38,19,6,13,74,51,63,"59,323"
"Cheikhou Kouyat?\Cheikhou-Kouyate","SEN","MF",NA,"West Ham",27,1989,33,32,2799,2,3,0,0,5,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,38,10,12,16,48,68,42,"56,885"
"Bojan Krki?\Bojan-Krkic","ESP","MF",NA,"Stoke City",26,1990,1,1,71,0,0,0,0,0,0,"2017-18",1,0,0,1,21,25,1,3,17,19,3,3,1,24,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,3,3,3,0,0,1,1,19,38,7,12,19,35,68,33,"29,280"
"Grzegorz Krychowiak\Grzegorz-Krychowiak","POL","MF",NA,"West Brom",27,1990,27,20,1641,0,2,0,0,2,0,"2017-18",18,4,2,13,623,804,9,29,464,555,150,220,98,619,10,1,11,0,72,10,0,0,31,39,1,20,29,47,0,0,0,11,15,12,1,39,62,23,20,38,6,13,19,31,56,31,"24,520"
"Rajiv van La Parra\Rajiv-van-La-Parra","NED","FW","MF","Huddersfield",26,1991,33,26,2137,3,0,1,1,3,1,"2017-18",42,14,0,16,524,730,14,54,436,536,74,140,64,626,1,0,5,8,22,18,8,0,29,46,3,85,22,18,0,0,0,67,121,77,7,41,71,30,16,38,9,10,19,28,58,37,"24,040"
"Alexandre Lacazette\Alexandre-Lacazette","FRA","FW",NA,"Arsenal",26,1991,32,26,2202,14,4,2,2,1,0,"2017-18",66,32,0,34,534,709,34,64,452,564,48,81,92,564,0,0,0,0,14,32,5,0,28,28,24,15,16,8,1,0,0,28,45,35,1,23,35,12,6,38,19,6,13,74,51,63,"59,323"
"Freddie Ladapo\Freddie-Ladapo"," ENG","FW",NA,"Crystal Palace",24,1993,1,0,17,0,0,0,0,0,0,"2017-18",0,0,0,0,5,9,0,0,5,9,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,38,11,11,16,45,55,44,"25,063"
"Adam Lallana\Adam-Lallana"," ENG","MF","FW","Liverpool",29,1988,12,1,308,0,0,0,0,1,0,"2017-18",11,0,0,7,188,223,5,14,172,186,11,23,67,150,1,0,1,1,23,9,2,0,4,5,1,8,0,1,0,0,0,7,9,7,1,0,7,7,4,38,21,12,5,84,38,75,"53,049"
"êrik Lamela\Erik-Lamela","ARG","FW","MF","Tottenham",25,1992,25,7,843,2,2,0,0,4,0,"2017-18",18,5,0,16,370,465,7,24,320,364,43,77,395,54,7,1,17,0,22,14,0,0,24,16,3,26,14,10,1,0,0,19,32,21,0,21,29,8,3,38,23,8,7,74,36,77,"67,953"
"Manuel Lanzini\Manuel-Lanzini","ARG","MF","FW","West Ham",24,1993,27,23,2042,5,6,0,1,4,0,"2017-18",43,16,7,39,1055,1274,32,54,862,960,161,260,116,1128,42,5,51,4,96,35,3,0,9,35,3,83,14,30,1,0,0,34,63,41,0,21,44,23,13,38,10,12,16,48,68,42,"56,885"
"Aymeric Laporte\Aymeric-Laporte","FRA","DF",NA,"Manchester City",23,1994,9,9,806,0,0,0,0,1,0,"2017-18",3,0,0,2,733,802,6,16,532,564,195,222,564,178,2,0,0,6,75,4,1,0,10,4,0,2,4,14,0,0,0,2,2,2,0,5,11,6,1,38,32,4,2,106,27,100,"54,070"
"Jamaal Lascelles\Jamaal-Lascelles"," ENG","DF",NA,"Newcastle Utd",23,1993,33,32,2928,3,0,0,0,5,0,"2017-18",15,9,0,4,894,1167,15,40,606,716,273,411,201,775,9,0,0,3,67,2,1,0,16,12,0,2,19,29,0,0,0,8,12,10,0,34,40,6,10,38,12,8,18,39,47,44,"51,992"
"Florian Lejeune\Florian-Lejeune","FRA","DF",NA,"Newcastle Utd",26,1991,24,24,2103,0,2,0,0,3,0,"2017-18",11,2,2,7,808,1060,11,31,496,581,301,448,183,728,23,0,0,3,79,1,0,0,17,16,2,5,24,51,0,1,0,7,8,7,0,38,49,11,10,38,12,8,18,39,47,44,"51,992"
"Mario Lemina\Mario-Lemina","GAB","MF",NA,"Southampton",23,1993,25,20,1720,1,1,0,0,2,0,"2017-18",24,5,0,8,859,992,12,18,640,710,207,264,160,767,4,2,1,3,82,6,1,0,28,17,2,10,39,41,0,0,0,40,55,45,2,54,71,17,17,38,7,15,16,37,56,36,"30,794"
"Aaron Lennon\Aaron-Lennon"," ENG","FW","MF","Everton",30,1987,15,9,793,0,0,0,0,0,0,"2017-18",4,1,0,5,151,216,4,17,133,173,14,26,25,166,0,0,0,10,10,1,0,0,9,8,0,10,6,13,2,0,0,5,14,7,0,13,28,15,8,38,13,10,15,44,58,49,"38,797"
"Aaron Lennon\Aaron-Lennon"," ENG","MF","FW","Burnley",30,1987,14,13,1118,0,2,0,0,2,0,"2017-18",10,4,0,8,202,292,4,23,172,225,26,44,26,253,0,0,0,1,10,7,1,0,12,12,1,29,13,9,0,0,0,14,24,16,1,20,32,12,7,38,14,12,12,36,39,54,"20,688"
"Victor Lindel?f\Victor-Lindelof","SWE","DF",NA,"Manchester Utd",23,1994,17,13,1285,0,0,0,0,1,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,38,25,6,7,68,28,81,"74,976"
"Jesse Lingard\Jesse-Lingard"," ENG","MF","FW","Manchester Utd",24,1992,33,20,1817,8,5,0,0,2,0,"2017-18",55,23,0,27,827,980,53,77,669,758,105,145,122,817,5,2,22,12,68,21,0,0,34,37,4,46,15,10,0,0,0,21,38,23,1,22,38,16,2,38,25,6,7,68,28,81,"74,976"
"Jake Livermore\Jake-Livermore"," ENG","MF",NA,"West Brom",27,1989,34,30,2674,2,2,0,0,5,0,"2017-18",15,4,0,19,874,1124,10,37,629,747,235,340,127,904,2,3,2,6,120,8,2,0,42,14,1,19,42,29,0,0,0,23,30,23,1,53,95,42,20,38,6,13,19,31,56,31,"24,520"
"Fernando Llorente\Fernando-Llorente","ESP","FW","DF","Tottenham",32,1985,16,1,238,1,0,0,0,1,0,"2017-18",7,2,0,5,57,83,3,5,53,73,1,5,8,50,0,0,0,0,1,2,0,0,4,4,2,0,3,0,0,0,0,0,2,0,0,4,6,2,3,38,23,8,7,74,36,77,"67,953"
"Hugo Lloris\Hugo-Lloris","FRA","GK",NA,"Tottenham",30,1986,36,36,3240,0,0,0,0,1,0,"2017-18",0,0,0,0,704,904,2,3,323,324,379,577,712,41,23,0,0,0,6,1,0,0,1,2,0,1,0,2,0,1,0,1,1,1,0,0,2,2,3,38,23,8,7,74,36,77,"67,953"
"JÅrgen Locadia\Jurgen-Locadia","NED","FW","MF","Brighton",23,1993,6,3,224,1,1,0,0,0,0,"2017-18",5,1,0,1,35,50,3,7,23,33,9,10,11,30,0,0,0,0,4,0,0,0,2,4,2,3,0,1,0,0,0,1,1,1,0,0,2,2,15,38,9,13,16,34,54,40,"30,403"
"Ruben Loftus-Cheek\Ruben-Loftus-Cheek"," ENG","MF","FW","Crystal Palace",21,1996,24,21,1874,2,3,0,0,1,0,"2017-18",32,7,0,21,584,712,23,48,492,562,69,102,79,591,2,2,0,2,59,30,2,0,17,61,3,13,11,25,0,0,0,56,91,61,5,16,28,12,11,38,11,11,16,45,55,44,"25,063"
"Joe Lolley\Joe-Lolley"," ENG","MF","FW","Huddersfield",24,1992,6,2,221,1,0,0,0,1,0,"2017-18",3,3,0,1,55,78,0,2,47,61,8,15,55,16,1,1,0,0,9,2,1,0,3,3,0,8,0,4,0,0,0,2,5,3,0,1,3,2,16,38,9,10,19,28,58,37,"24,040"
"Kevin Long\Kevin-Long","IRL","DF",NA,"Burnley",26,1990,16,16,1440,1,2,0,0,1,0,"2017-18",10,2,0,2,395,580,5,16,242,325,148,239,39,382,3,0,0,1,28,1,0,0,15,21,2,2,17,27,0,1,1,0,1,0,0,30,42,12,7,38,14,12,12,36,39,54,"20,688"
